Codigo,Preco,Mercadoria
132,"0,00",CATUPIRY C PRA PIZZA BIS 15KGX8
143,"0,00",REQUEIJAO AMARILIS BISNAGA
150,"0,00",MARGARINA 75% BALDE 15 KG SUPREMA
151,"0,00",FERMENTO BIOLOGICO SECO INSTANTANEO M DOCE 500 G P450
152,"0,00",ACUCAR CRISTAL SUPERIOR SACO 50 KG 20
153,"0,00",FARINHA DE TRIGO DONA MARIA 50 KG 00001
154,"0,00",MARGARINA 75% BALDE 15 KG PRIMOR
155,"0,00",MELHORITA P5
156,"0,00",ACUCAR REFINADO GRANULADO 50 KG 0000000000082
157,"0,00",EMULSIZAN EMULSIF. CONC. HIDROSSOLUVEL BSNGA 100 GRS 001.001162-003
168,"0,00",AMBIANTE 1LT
169,"0,00",CHANTILLY PLATINUM MAURI
170,"0,00",BRIOCHE 100% SC 5KG
171,"0,00","SICAO CHOC GOLD MEIO AMARGO 1,01KG"
172,"0,00","SICAO COB BRANCA MAIS 1,01 KG"
173,"0,00",BOLO DA MONTANHA MULTIGRAO SC 2KG
174,"0,00","HARMONY COLD CHOCOLATE BLD 4,5KG"
180,"0,00",FERMENTO BIOLOGICO INSTANTANEO 500G
181,"0,00",MARGARINA INDUSTRIAL MEDALHA DE OURO 80% 15KG
185,"0,00",FARINHA MEDALHA DE OURO 50KG
199,"0,00",TEGRAL BROWNIE 2KG
200,"0,00",MIST PAO DE QUEIJO MAURI 1KG
201,"0,00",GELEIA BRILHO MORANGO S/SEMENTE MAURI 4K
203,"0,00",CATUPIRY CREMILLE 18KG CX8UND
224,"0,00",MARG.IND.P.SABOR 70% 15KG
226,"0,00","HARMONY COLD NEUTRO BLD 4,5KG"
227,"0,00","CHOCOLANTE BRANCO BARRA 2,01KG"
228,"0,00","CHOCOLANTE MEIO AMARGO BARRA 2,01KG"
229,"0,00",LINGUICA TOSCANA LEBON CONG 5 KG
249,"0,00",LINGUICA CALABRESA RETA PERDIGAO
252,"0,00",FILE DE PEITO
259,"0,00",ADIPAN
260,"0,00",ADICREM CREME CONFEITEIRO
261,"0,00",FERMENTO QUIMICO
262,"0,00",ADINOMAX PAO DE QUEIJO
263,"0,00",BATTERMIX LARANJA
264,"0,00",BATTERMIX AIPIM
265,"0,00",AMIDO DE MILHO
266,"0,00",FILE DE PEITO DE FRANGO CONG. ENV. LAR CX 20 KG (71713)
277,"0,00",CARNE MOIDA CONG. FORTBOI CX 20X 500GR (2805) 1444
283,"0,00",BATTERMIX FUBA COMPLETO
284,"0,00",BATTERMIX AMENDOIM
285,"0,00",BATTERMIX MILHO VERDE TRAD.
286,"0,00",ESSENCIA BAUNILHA
287,"0,00",ESSENCIA COCO
288,"0,00",ESSENCIA LARANJA
289,"0,00",ESSENCIA ABACAXI
290,"0,00",BRILHO MORANGO
291,"0,00",BRILHO NEUTRO
292,"0,00",BRILHO CHOCOLATE
293,"0,00",BRILHO MARACUJA
294,"0,00",RECHEIO CHOCOLATE TRUFADO
295,"0,00",BRILHO CARAMELO
296,"0,00",CALDA DE CARAMELO
297,"0,00",BRILHO FRUTAS VERMELHAS
298,"0,00",COBERTURA BRANCA ESPELHADA
299,"0,00",BATTERMIX MULTIGRANO
300,"0,00",ZARPAN N HIDROSSOLUVEL BISNG
309,"0,00",LINGUICA CALABRESA CUR PERD
314,"0,00",HAMBURGUER BOV FGO FAST BURGER CX2016
315,"0,00",LINGUICA TIPO CALABRESA SADIA
317,"0,00",LINGUICA CALAB. RETA LEBON
319,"0,00",CREME RECHEIO MAURI 1KG
320,"0,00",FT IND.MED.DE OURO 25KG
361,"0,00",FILE DE PEITO DE FRANGO CONG. JAGUA CX 20 KG (400487)
362,"0,00",UVAS PASSAS
363,"0,00",SACO PANETONE 500 G
364,"0,00",PREPARADO PANETONE C GEMAS
365,"0,00",FORMA PARA PANETONE 500G
366,"0,00",FRUTAS CRISTALIZADAS
367,"0,00",FORMA PARA PANETONE 400G
368,"0,00",RECHEIO LIMAO COM RASPAS
375,"0,00",MOLHO DE TOMATE TAMBAU TRAD. POUCH UND  2 KG (0203013)
376,"0,00",LINGUICA MISTA CONG FRANGOSUL PCT 5 KG (2058)
377,"0,00",PALLET VAZADO 14X100X120 PTO.BOLIVAR 1UN
387,"0,00",CARNE MOIDA PURISSIMA CX15KG
392,"0,00",LINGUICA CALAB DEF RETA REZENDE PC25 CX15KG
394,"0,00",FILE DE PEITO DE FRANGO IND. MISTER FRANGO CX 18 KG (33922)
401,"0,00",TRIGUS BATATA
402,"0,00",TRIGUS BRIOCHE
409,"0,00",HAMBURGUER TEXAS GRANEL CX 2016KG
442,"0,00",MARGARINA SUPREMA 80% LIP.15 KG BD
443,"0,00",PLACAS PARA SORVETE 10L
449,"0,00",LINGUICA DEFUMADA FRANGO FRIATO PC25 CX15KG
455,"0,00",RECHEIO MARACUJA
456,"0,00",RECHEIO DOCE DE LEITE
457,"0,00",RECHEIO CHOCOLATE COM AMENDOIM
461,"0,00",LINGUICA CALABRESA RETA SADIA INST 25KG
469,"0,00",FILE CONG BOB CARRER CX10KG
488,"0,00",FERM.BIO.INST.FERMIPAN BROWN MD 500G
491,"0,00",ADINOR EMULSIZAN EMULSIF.CONC.HIDROS.5KG
492,"0,00",FT DOM.FINNA ESP.1KG
493,"0,00",FT IND.DIVINA ESP.25KG
498,"0,00",SUI IND LING CALABRESA FRESCA
516,"0,00",ESSENCIA BAUNILHA
517,"0,00",ESSENCIA LARANJA
518,"0,00",RECHEIO CHOCOLATE
519,"0,00",RECHEIO ABACAXI COM PEDACOS DE FRUTA
520,"0,00",RECHEIO MORANGO COM PEDACOS DE FRUTA
521,"0,00",BRILHO LIMAO COM RASPAS
523,"0,00",PEITO SOPFC MET FRANGO CONG ITF 15KG PD
525,"0,00",CATUPIRY CREMILLE  CX10 15KG
526,"0,00",LINGUICA SUINA PARA CHURRASCO SAUDALI PC5KG CX10KG
546,"0,00",FT IND.DIVINA ESP.50KG
556,"0,00",FILEZINHO DE PEITO ENV 20KG LAR
564,"0,00",FERMENTO INST. ADINOPAN
568,"0,00",REFRESCO TANG CAJA
575,"0,00",FT IND.MAXTRIGO PREMIUM 50KG
589,"0,00",BATTERMIX FUBA NORMAL
590,"0,00",BATTERMIX ECONOMICO
591,"0,00",BATTERMIX MILHO VERDE CREM.
592,"0,00",BATTERMIX ABACAXI
593,"0,00",BATTERMIX CAKE BANANA CLASSIC
594,"0,00",BATTERMIX LEITE CONDENSADO
595,"0,00",BATTERMIX LIMAO
596,"0,00",BATTERMIX CENOURA
597,"0,00",BATTERMIX FUBA CREMOSO
598,"0,00",TRIGUS SOFT INTEGRAL BANANA MEL E AVEIA SEB
599,"0,00",TRIGUS DOCEMIX PAO FRANCES 12 GRAOS
600,"0,00",FT IND.MAXTRIGO PAO FRANCES 25KG
601,"0,00",FILE DE PEITO FATIADO NAT PC2KG CX12KG
602,"0,00",ADIPAN
603,"0,00",DOCEMIX MASSA DOCE
604,"0,00",LINGUICA CHURR MISTA PT5KG PERD 20KG
609,"0,00",MIST.BOLO DE AIPIM BUNGE PRE MESCLA 5KG
627,"0,00",FT IND.DO PADEIRO 25KG
631,"0,00",FT IND.DO PADEIRO 50KG
632,"0,00",FT IND.SUPREMA 50KG
633,"0,00",FT IND.ADORITA ESP.50KG
637,"0,00",MARGARINA SOFITELI BALDE 15KG
639,"0,00",FARINHA TRIGO MEDALHA DE OURO 50KG FD
642,"0,00",FRG CONG MEIO PEITO S/O S/P
643,"0,00",BAND.LAMINADA 34X41 CM N 05 UN 1
644,"0,00",BANDEJA A20 BRANCA C/4X100UN CT 1
645,"0,00",EMB.P/ BOLO I-32 INTRAPLAST BASE (BRANCA)1X100UN CX 1
646,"0,00",BOB PICOTADA 25 X 35 SEGPLAST(KG) UN 1
647,"0,00",COLHER REF PREMIUM PRAFESTA CRISTAL 20X50UN PC 1
648,"0,00",ETIQ PRECO BRANCA MX 5500 C/1X10 UN 1
649,"0,00",ETIQUETA TERMICA BAL. 40X40 READY C/48 UN UN 1
650,"0,00",GARFO REF PRAFESTA PREMIUM BRANCO(20X50)UND PC 1
651,"0,00",SACOLA 38X48 COMPACT 10X100 UN ML 1
652,"0,00",PRATO DE PAPELAO 17XCM N 03 C/100 UN CT 1
653,"0,00",LUVA PLASTICA FORT FLEX HEALTH PCT C/100 PC 1
654,"0,00",FILME DE PVC ARTLINE 380X9X1000 UN UN 1
655,"0,00",SACOLA 30X40 (P) PAES E DOCES (ML) ML 1
656,"0,00",KIT POTE/TAMPA COPOZAN 500ML (14X25) PC 1
666,"0,00",LINGUICA TOSCANA SADIA PCT5KG CX20KG
667,"0,00",FILE DE PEITO BDJ CX12KG NAT
670,"0,00",EMB. P/ BOLO I-65 BASE BRANCA CX 1X50UN CX 1
671,"0,00",SACO 60X90 DE ALTA POLIET 1X1000UN CT 1
672,"0,00",PRATO DE PAPELAO 17XCM N 05 C/100 UN CT 1
673,"0,00",SACOLA 30X45 (P) RECICLADA (KG) KG 1
